"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","App Store and Play Store screenshots","1","0","Take screenshots of App Store and Play Store pages","0"
"0","","0","","5","0","","0"
"0","","0","Extract and display online degree program information","1","0","Filter and display online degree programs by level and subject","0"
"0","","0","Display available languages for a searched course","1","0","List all available languages for Web Development courses","0"
"1","","0","Government form validation","0","0","Submit invalid email and phone number and verify error messages","0"
"0","","0","For Business Plan Selection","1","0","Select a business plan and display purchase summary","0"
"1","","0","Course Search and Details Extraction","0","0","Search and extract details of multiple courses","0"
"0","","0","Footer Section Validation","1","0","Extract and print all footer titles and their links","0"
"0","","0","View Course Content","1","0","User searches for a course and views its content","0"
"0","","0","Extract and display partner information","1","0","Display all partner links, logos, and names for a selected country","0"
"0","","0","Government Contact Form Submission","1","0","Submit a valid government contact form and verify confirmation","0"
